id,ico,tx_type,address,wallet_to,block_num,tx_index_in_block,currency,txid,price_feed,amount
120,SYNCO-2nd Pre-sale,Deposit,0x7C44937Acf35Bc2866640F99DE99cc3412461013,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5995651,113,ETH,0x428a01d6e98de9127ed394e1a58c1f47a6fd0741858c6caad8307c1de5fb4b46,47800/2018-07-20 00:00:00,49186200000000000000000
119,SYNCO-2nd Pre-sale,Deposit,0xd9FFc1fF30f0B52927400847C59222d4617D613d,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5995556,71,ETH,0x8fcdfeaf75eb54a57f46af24f8bf473cb63ada70301d75fd67403fa5d418dd41,47800/2018-07-20 00:00:00,382400000000000000000000
118,SYNCO-2nd Pre-sale,Deposit,0x3cD01038D246ca3c78AC8f93EA35321F8d6E2F93,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5995068,123,ETH,0x33de429e6dce38bb4468f1a20bb8b8d33f4c232063fa543428d07a1b0acfe66a,47800/2018-07-20 00:00:00,95600000000000000000000
117,SYNCO-2nd Pre-sale,Deposit,0x8302b781f0866D86D53f819E6e41959e4a1035E3,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5994733,30,ETH,0x5584bd9937b4ff14eaf6f77e95c22aaff6ebb1ef64bda5ff58e1ed271ba39e46,50600/2018-07-19 00:00:00,80960000000000000000000
116,SYNCO-2nd Pre-sale,Deposit,0x3b58337a84520507D7f58b8306B04de52051E114,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5990119,42,ETH,0x94a03bd18f4a9f3f017599bc32750a90e7708cc5a8953d0d58a8ed20b41132c8,50600/2018-07-19 00:00:00,101200000000000000000000
115,SYNCO-2nd Pre-sale,Deposit,0x259fEf25Ca097e0310658804B542fc7d61c9204b,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5989694,5,ETH,0xc58f3c904c38d598b3303b7338dc057ee6d4432bca47b5229f5b7bb37a6c62a6,50600/2018-07-19 00:00:00,101200000000000000000000
114,SYNCO-2nd Pre-sale,Deposit,0x3b58337a84520507D7f58b8306B04de52051E114,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5984748,17,ETH,0xd697ab198e7cf2d0a7bcbdf3683eca97f97b45dc6dc2d92f337dda7280483b8b,47500/2018-07-18 00:00:00,95000000000000000000000
113,SYNCO-2nd Pre-sale,Deposit,0x42C23e76334774a242d1bEC2E80898065583F8C0,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5981440,164,ETH,0xe157b66460b7517674f63ff358547d5235f9daa383277bde43d10a035ef8047b,45000/2018-07-17 00:00:00,54000000000000000000000
112,SYNCO-2nd Pre-sale,Deposit,0xE391dBd99Fd1d03C2C46bE53102dF08Ffae784fD,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5979850,227,ETH,0x34891fec75c62522d3e42c0855de8c3f1db7bea74278d993e9458d7324f303ac,45000/2018-07-17 00:00:00,45000000000000000000000
111,SYNCO-2nd Pre-sale,Deposit,0x8302b781f0866D86D53f819E6e41959e4a1035E3,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5940908,3,ETH,0x401c71b11e457fecf0de26cd9fec618b439934da131634cf7a8a1defc31a343d,48400/2018-07-10 00:00:00,58080000000000000000000
110,SYNCO-2nd Pre-sale,Deposit,0x8302b781f0866D86D53f819E6e41959e4a1035E3,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5935631,29,ETH,0x536b9782c424c2ea596ada48aa2e03944e0dd627b1fb8c00ab197410013bf8a6,49400/2018-07-09 00:00:00,4940000000000000000000
109,SYNCO-2nd Pre-sale,Deposit,0x8302b781f0866D86D53f819E6e41959e4a1035E3,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5935185,144,ETH,0x43a15a045488e0296044d35f9a3689d9d9c0df0d536e94d43917810b2f608daf,49400/2018-07-09 00:00:00,163020000000000000000000
108,SYNCO-2nd Pre-sale,Deposit,0x8307FeeAc22961279d339cb30E0Be6f47b9bF2b7,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5902703,71,ETH,0x5c78990c8a6abea0198467df17f9131fe3611cb7af4266e65c2d467cfbd27f5b,48100/2018-07-04 00:00:00,48100000000000000000000
107,SYNCO-2nd Pre-sale,Deposit,0x67801D1488d4465420893BC0fF10FfF678Af4A98,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5878562,16,ETH,0x6f452c986821c8d5a706b8af46a1ed6c1edefe734186af60f7908eb0d6739c6a,41900/2018-06-30 00:00:00,54470000000000000000000
105,SYNCO-1st Pre-sale,Deposit,0x88d8C46cb7dd74F2095Bcd99A5E1ef78AD5d50aa,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5814447,12,ETH,0xd34f3486cf869dfa09fe6a60177afcaaed7236a027672c966a15b675b04d8322,74329/2018-06-19 00:00:00,334480500000000000000000
104,SYNCO-1st Pre-sale,Deposit,0xE4564957c8025F6c5d29475DE1bBEE1CC5C9f2A8,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5814409,6,ETH,0xe759f58ac06b315940c49a5f06878fe7edeee02b4b5dc48b5e05baf5541d8dde,74329/2018-06-19 00:00:00,743290000000000000000000
103,SYNCO-1st Pre-sale,Deposit,0x5fC7c2B774E088fAD90dECFd1496500D8032312f,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5814393,39,ETH,0x5a7e308a0c7ff0ecc8a88ec7fd988b1ccc90f3efd9495724de450c6c0b8fd1b9,74329/2018-06-19 00:00:00,222987000000000000000000
101,SYNCO-1st Pre-sale,Deposit,0x259fEf25Ca097e0310658804B542fc7d61c9204b,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5814253,104,ETH,0x46e8f2e938d235c909dc1ab6cba22fded46d514fd26aaed68b448ce12c0e8623,74329/2018-06-19 00:00:00,74329000000000000000000
100,SYNCO-1st Pre-sale,Deposit,0x9c9eB1056AD7624c16e169173ADaF8EB3C6b8058,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5814151,140,ETH,0x34d3ca91e9ade71578c94b7ebad9fd8b37ff89f267aaf2c06fc6e8e8f3ca8310,74329/2018-06-19 00:00:00,74329000000000000000000
99,SYNCO-1st Pre-sale,Deposit,0x8492013386C69EdE9bFBe80be90CEEaAa416Aa0A,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5812403,0,ETH,0xddf2cf509d5e039125d0ee8e79d928106a018e38b5ba586adefccf7e0749c0f8,75374/2018-06-18 00:00:00,307525920000000000000000
98,SYNCO-1st Pre-sale,Deposit,0x20D090B61d86B2abA66acB5287aD8fad362a2165,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5810302,52,ETH,0xce38afb29f348e71c4b800b9bb850c01e97e0b9beb996844f6f66fbb8dadd67f,75374/2018-06-18 00:00:00,376805102986000000000000
97,SYNCO-1st Pre-sale,Deposit,0x3e44F6bddF38f5cF70f34D568396eaf13B6a8C70,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5810048,115,ETH,0xfffbb7c59ff4ec1445ecd6aac894dc2d7d953fc9c0e6967f2bb02319ebe4a4a5,75374/2018-06-18 00:00:00,753740000000000000000000
